Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
T.J. McConnell,PHI,27,74,190,76,1470,44.0,46.0,3.1,2.9,-100.0,-100.0,32.0,38.0,82.0,64.0,57.0,56.0,27.0,33.0,245.1,1.0454545454545454,0.19261213720316622,0.1795185638514892,0.9354838709677419,0.3952380952380952,0.012647898816809467,-100.0,-100.0,-100.0,1.1875,0.10027855153203342,0.13055895552835578,0.7804878048780488,0.9478672985781991,0.33455732354141166,0.9824561403508771,0.3858520900321543,0.23255813953488372,1.2222222222222223,0.10371517027863777,0.11015911872705018
T.J. Warren,PHX,25,80,215,43,1360,30.0,28.0,3.8,4.5,-100.0,-100.0,39.0,29.0,109.0,132.0,22.0,21.0,21.0,22.0,224.8,0.9333333333333333,0.3759894459102902,0.13345195729537365,1.1842105263157896,0.02857142857142857,0.01690391459074733,-100.0,-100.0,-100.0,0.7435897435897436,0.8495821727019499,0.17348754448398576,1.2110091743119267,0.08293838862559241,0.4848754448398576,0.9545454545454546,0.43086816720257237,0.09786476868327401,1.0476190476190477,0.29102167182662536,0.09341637010676156
Tahjere McCall,BKN,24,77,190,1,8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Taj Gibson,MIN,34,81,232,70,1686,54.0,60.0,-100.0,-100.0,28.0,22.0,52.0,42.0,205.0,231.0,18.0,17.0,33.0,41.0,390.0,1.1111111111111112,0.13060686015831136,0.13846153846153847,-100.0,-100.0,-100.0,0.7857142857142857,0.8081395348837209,0.07179487179487179,0.8076923076923077,0.766016713091922,0.13333333333333333,1.1268292682926828,0.1966824644549763,0.5256410256410257,0.9444444444444444,0.45016077170418006,0.046153846153846156,1.2424242424242424,0.08978328173374613,0.08461538461538462
Taurean Prince,ATL,25,80,220,55,1552,20.0,15.0,3.5,2.6,-100.0,-100.0,14.0,10.0,119.0,113.0,37.0,43.0,60.0,63.0,253.5,0.75,0.8007915567282322,0.07889546351084813,0.7428571428571429,0.7476190476190476,0.013806706114398421,-100.0,-100.0,-100.0,0.7142857142857143,0.883008356545961,0.055226824457593686,0.9495798319327731,0.6943127962085308,0.46942800788954636,1.162162162162162,0.13987138263665594,0.14595660749506903,1.05,0.2848297213622291,0.23668639053254437
Terrance Ferguson,OKC,21,79,190,74,1931,78.0,83.0,-100.0,-100.0,18.0,21.0,48.0,42.0,167.0,161.0,82.0,72.0,76.0,63.0,469.0,1.064102564102564,0.17941952506596306,0.16631130063965885,-100.0,-100.0,-100.0,1.1666666666666667,0.23449612403100775,0.03837953091684435,0.875,0.6434540389972145,0.1023454157782516,0.9640718562874252,0.6611374407582938,0.35607675906183367,0.8780487804878049,0.5627009646302251,0.17484008528784648,0.8289473684210527,0.7275541795665634,0.16204690831556504
Terrence Jones,HOU,27,81,252,2,5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Terrence Ross,ORL,28,79,206,81,2150,37.0,37.0,5.7,4.5,30.0,26.0,15.0,17.0,267.0,273.0,73.0,68.0,71.0,74.0,498.7,1.0,0.2519788918205805,0.07419290154401444,0.7894736842105263,0.6761904761904762,0.01142971726488871,0.8666666666666667,0.7054263565891473,0.060156406657309,1.1333333333333333,0.149025069637883,0.0300782033286545,1.0224719101123596,0.48578199052132703,0.5353920192500501,0.9315068493150684,0.4855305466237942,0.14638058953278524,1.0422535211267605,0.30340557275541796,0.14237016242229797
Terry Rozier,BOS,25,73,190,79,1791,39.0,32.0,3.7,3.2,14.0,13.0,36.0,37.0,170.0,149.0,53.0,56.0,51.0,46.0,366.7,0.8205128205128205,0.6411609498680739,0.10635396782110718,0.8648648648648649,0.5285714285714286,0.010089991818925554,0.9285714285714286,0.6182170542635659,0.03817834742296155,1.0277777777777777,0.30362116991643456,0.0981728933733297,0.8764705882352941,0.8459715639810427,0.46359421870739026,1.0566037735849056,0.2508038585209003,0.14453231524406873,0.9019607843137255,0.5743034055727554,0.1390782656122171
Thabo Sefolosha,UTA,35,79,220,50,609,19.0,13.0,-100.0,-100.0,13.0,11.0,22.0,29.0,48.0,37.0,11.0,5.0,12.0,7.0,125.0,0.6842105263157895,0.8799472295514512,0.152,-100.0,-100.0,-100.0,0.8461538461538461,0.7344961240310077,0.104,1.3181818181818181,0.04178272980501393,0.176,0.7708333333333334,0.9597156398104265,0.384,0.45454545454545453,0.9855305466237942,0.088,0.5833333333333334,0.9535603715170279,0.096
