Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
LeBron James,CLE,33.0,80,250,82,3026,521.0,500.0,448.0,531.0,5.5,5.1,60.0,74.0,196.0,203.0,100.0,108.0,24.0,19.0,118.0,191.0,19.0,24.0,64.0,76.0,1555.5,0.9596928982725528,0.7132075471698113,0.33494053359048537,1.1852678571428572,0.6649874055415617,0.28801028608164575,0.9272727272727272,0.5810055865921788,0.0035358405657344907,1.2333333333333334,0.8222222222222222,0.03857280617164899,1.0357142857142858,0.8839779005524862,0.12600450016072,1.08,0.74,0.06428801028608165,0.7916666666666666,0.3040816326530612,0.015429122468659595,1.61864406779661,0.9845201238390093,0.07585985213757634,1.263157894736842,0.902542372881356,0.012214721954355513,1.1875,0.6598513011152416,0.04114432658309225
London Perrantes,CLE,23.0,74,190,14,66,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Lonzo Ball,LAL,20.0,78,190,52,1780,29.0,22.0,145.0,107.0,3.6,3.4,-100.0,-100.0,-100.0,-100.0,164.0,161.0,36.0,21.0,27.0,33.0,18.0,11.0,29.0,22.0,451.6,0.7586206896551724,0.3018867924528302,0.06421612046058459,0.7379310344827587,0.055415617128463476,0.3210806023029229,0.9444444444444444,0.6368715083798883,0.007971656333038087,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.9817073170731707,0.48,0.36315323294951285,0.5833333333333334,0.10204081632653061,0.07971656333038087,1.2222222222222223,0.4071207430340557,0.059787422497785646,0.6111111111111112,0.0635593220338983,0.03985828166519043,0.7586206896551724,0.08178438661710037,0.06421612046058459
Lorenzo Brown,TOR,27.0,77,189,14,139,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Lou Williams,LAC,31.0,73,175,79,2589,153.0,142.0,264.0,271.0,13.3,11.1,-100.0,-100.0,-100.0,-100.0,232.0,242.0,150.0,181.0,24.0,30.0,75.0,102.0,27.0,31.0,938.3,0.9281045751633987,0.6641509433962264,0.16306085473729084,1.0265151515151516,0.3677581863979849,0.2813599062133646,0.8345864661654134,0.4022346368715084,0.014174571032718748,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.043103448275862,0.6475,0.2472556751571992,1.2066666666666668,0.9346938775510204,0.15986358307577533,1.25,0.47987616099071206,0.025578173292124057,1.36,0.9576271186440678,0.07993179153788767,1.1481481481481481,0.5966542750929368,0.028775444953639564
Luc Mbah a Moute,HOU,31.0,80,230,61,1564,14.0,21.0,106.0,132.0,-100.0,-100.0,40.0,46.0,-100.0,-100.0,202.0,177.0,10.0,2.0,23.0,31.0,15.0,21.0,-100.0,-100.0,410.0,1.5,1.0,0.03414634146341464,1.2452830188679245,0.7707808564231738,0.25853658536585367,-100.0,-100.0,-100.0,1.15,0.6777777777777778,0.0975609756097561,-100.0,-100.0,-100.0,0.8762376237623762,0.2925,0.4926829268292683,0.2,0.006122448979591836,0.024390243902439025,1.3478260869565217,0.7229102167182663,0.05609756097560976,1.4,0.9682203389830508,0.036585365853658534,-100.0,-100.0,-100.0
Lucas Nogueira,TOR,25.0,84,220,48,415,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Luis Montero,DET,25.0,79,200,2,8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Luke Babbitt,MIA,29.0,81,225,50,715,-100.0,-100.0,21.0,24.0,-100.0,-100.0,33.0,46.0,-100.0,-100.0,126.0,137.0,11.0,13.0,-100.0,-100.0,16.0,12.0,-100.0,-100.0,207.0,-100.0,-100.0,-100.0,1.1428571428571428,0.575566750629723,0.10144927536231885,-100.0,-100.0,-100.0,1.393939393939394,0.9555555555555556,0.15942028985507245,-100.0,-100.0,-100.0,1.0873015873015872,0.75,0.6086956521739131,1.1818181818181819,0.9183673469387755,0.05314009661835749,-100.0,-100.0,-100.0,0.75,0.13135593220338984,0.07729468599033816,-100.0,-100.0,-100.0
Luke Kennard,DET,22.0,77,200,73,1463,-100.0,-100.0,70.0,75.0,1.5,1.3,-100.0,-100.0,-100.0,-100.0,115.0,147.0,145.0,116.0,26.0,32.0,76.0,69.0,-100.0,-100.0,433.5,-100.0,-100.0,-100.0,1.0714285714285714,0.4722921914357683,0.16147635524798154,0.8666666666666667,0.46368715083798884,0.0034602076124567475,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2782608695652173,0.9675,0.26528258362168394,0.8,0.336734693877551,0.3344867358708189,1.2307692307692308,0.43343653250773995,0.05997693194925029,0.9078947368421053,0.3898305084745763,0.17531718569780855,-100.0,-100.0,-100.0
